fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.1,0.03230088495575221,0.0,2.25,7,Voxel-wise permutation,t
0.05,0.04336283185840708,0.0,2.5,7,Voxel-wise permutation,t
0.05,0.06460176991150443,0.0,2.75,7,Voxel-wise permutation,t
0.1,0.09823008849557521,0.0,3.0,7,Voxel-wise permutation,t
0.0,0.0,0.1,0.0,7,Voxel-wise permutation,t
0.1,0.0,0.1,0.1,7,Voxel-wise permutation,t
0.05,0.0,0.1,0.25,7,Voxel-wise permutation,t
0.0,0.0,0.1,0.5,7,Voxel-wise permutation,t
0.0,0.0008849557522123894,0.1,0.75,7,Voxel-wise permutation,t
0.05,0.0017699115044247787,0.1,1.0,7,Voxel-wise permutation,t
0.05,0.003097345132743363,0.1,1.25,7,Voxel-wise permutation,t
0.0,0.007079646017699115,0.1,1.5,7,Voxel-wise permutation,t
0.15,0.011504424778761064,0.1,1.75,7,Voxel-wise permutation,t
0.05,0.021238938053097345,0.1,2.0,7,Voxel-wise permutation,t
